designation,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_pseudo_colour,astrometric_pseudo_colour_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat
Gaia DR2 6726716962259332480,2015.5,276.9748533727815,0.20630415589297638,-39.713940050545155,0.21885416150731615,0.3386966732751469,0.28219232058369376,-0.128837868843935,0.3594658541854274,-7.61674090053747,0.30811173225965294,1.5683620414594661,0.04617181566818123,18.460827,,,354.6174663292778,-12.777303905141432,275.5882659345415,-16.40986574748455
Gaia DR2 6726703802479255168,2015.5,277.0819394157588,0.11907475292708777,-39.8011823742084,0.14348237075882123,0.6712806993029524,0.188614516226255,4.834536272492636,0.22233604546407512,-0.03891056898763033,0.20365684484996333,1.5827971634445106,0.024690036297758934,17.361935,,,354.57157775600945,-12.888598326770648,275.6693777025187,-16.50117365124628
Gaia DR2 6726717035276960512,2015.5,277.0295062229093,9.740672945182952,-39.728645672568675,13.197743930983176,,,,,,,,,20.72486,,,354.62184503780423,-12.821633627402637,275.6312587477711,-16.426677670740236
Gaia DR2 6726703738073689728,2015.5,277.0843530643502,3.6638660257536166,-39.80918235660379,3.1899065066648573,,,,,,,,,19.052414,,,354.56491842266826,-12.893628081188693,275.67088223545494,-16.50925801653025
Gaia DR2 6726687863878900480,2015.5,275.66883320412217,0.24963140699069364,-38.73099897724353,1.391401242330479,,,,,,,,,18.457003,,,355.08496951581253,-11.442827176092038,274.58392468900735,-15.38187871032
Gaia DR2 6726714801891255680,2015.5,276.8104096030807,0.47419713729372764,-39.707430911217564,0.44253285009804766,0.477755977141135,0.6039301938412918,0.5158685264103634,0.72084398557024,-6.358292463220216,0.6343261270403574,1.4870024807463718,0.08987115051738893,19.40831,,,354.5690277172217,-12.65977562311043,275.45689605355204,-16.397069554473607
Gaia DR2 6726688276195186816,2015.5,275.5534944070353,0.3674449714052407,-38.76482741669633,0.4190147270908696,0.5298108572055688,0.6446001518753376,-1.5180814479664029,0.6626440556930985,-4.598338864886424,0.6056356402079963,1.435029373315477,0.08329507981986077,19.06265,,,355.01401465199336,-11.376506465222043,274.4892829268401,-15.412050761826094
Gaia DR2 6726683775076953344,2015.5,275.64257662887064,0.07848107746922044,-38.88612663804733,0.10370326066229911,0.11229408178970905,0.12599467297271463,0.132751491143774,0.12929692270603677,-8.493745702696454,0.11276010681445986,1.4928940021112278,0.017346167762718148,16.138206,,,354.9333018472494,-11.491707876628327,274.5561676719191,-15.536045831520852
Gaia DR2 6726697622040257536,2015.5,277.0111058869526,0.0902979993965399,-39.88054529941687,0.5482609750511486,2.68133777622342,0.732810923907591,-0.6951082787134659,0.13848371780718519,-6.019414124870057,0.1407621423260834,1.4482626662610647,0.015492192252380273,16.094599,,,354.474291601347,-12.872404542965338,275.60850167193263,-16.577665142696855
Gaia DR2 6726704764553887744,2015.5,277.1858318782408,0.38061680255830027,-39.78806220049829,0.4540930118953837,0.17181252162931593,0.578067542747748,-8.258817586547769,0.7375044869447499,-4.321070279407044,0.6386268095893751,1.5157173451302124,0.08209646235884806,19.206526,,,354.61802215489087,-12.955642918415691,275.75322418895905,-16.492183502281588
